country,year,disease_name,disease_category,prevalence_rate,incidence_rate,mortality_rate,age_group,gender,population_affected,healthcare_access,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines_treatment,recovery_rate,improvement_in_5_years,per_capita_income_usd,education_index,urbanization_rate
Italy,2013,Malaria,Respiratory,0.95,1.55,8.42,0-18,Male,471007,57.74,3.34,7.58,Medication,21064,No,91.82,2.16,16886,0.79,86.02
France,2002,Ebola,Parasitic,12.46,8.63,8.75,61+,Male,634318,89.21,1.33,5.11,Surgery,47851,Yes,76.65,4.82,80639,0.74,45.52
Turkey,2015,COVID-19,Genetic,0.91,2.35,6.22,36-60,Male,154878,56.41,4.07,3.49,Vaccination,27834,Yes,98.55,5.81,12245,0.41,40.2
Indonesia,2011,Parkinson's Disease,Autoimmune,4.68,6.29,3.99,0-18,Other,446224,85.2,3.18,8.44,Surgery,144,Yes,67.35,2.22,49336,0.49,58.47
Italy,2013,Tuberculosis,Genetic,0.83,13.59,7.01,61+,Male,472908,67.0,4.61,5.9,Medication,8908,Yes,50.06,6.93,47701,0.5,48.14
Saudi Arabia,2011,Dengue,Bacterial,10.99,6.49,4.64,61+,Female,479234,98.41,3.5,0.62,Therapy,42671,Yes,93.17,9.83,29597,0.46,56.5
USA,2013,Malaria,Cardiovascular,18.42,6.33,9.33,61+,Female,289931,90.03,3.16,3.31,Surgery,15579,No,92.8,0.89,60027,0.7,20.48
Nigeria,2007,Tuberculosis,Neurological,3.48,5.71,1.21,0-18,Female,393296,75.6,0.54,3.54,Medication,15744,Yes,65.45,9.81,23222,0.46,66.49
Italy,2000,Rabies,Chronic,15.59,4.74,6.38,19-35,Female,253110,87.87,4.56,5.84,Therapy,7669,Yes,59.23,9.92,30849,0.55,41.27
Australia,2006,Cholera,Chronic,10.12,2.08,6.0,61+,Male,174143,95.9,4.63,6.01,Medication,9468,Yes,93.21,2.96,68856,0.9,83.3
Canada,2011,Leprosy,Cardiovascular,11.15,0.6,2.97,36-60,Female,76858,67.88,0.66,1.99,Surgery,19993,Yes,76.16,1.23,44699,0.58,51.5
Mexico,2009,Cancer,Metabolic,3.88,10.85,1.85,0-18,Male,462950,71.06,4.08,6.22,Vaccination,36202,Yes,63.54,3.16,30015,0.61,29.05
Nigeria,2007,Diabetes,Infectious,8.92,13.19,5.52,36-60,Female,227849,84.41,1.37,9.57,Therapy,45685,No,68.02,3.98,60608,0.61,68.17
France,2004,Measles,Bacterial,11.4,5.15,7.77,61+,Male,420730,86.28,4.73,0.73,Therapy,49545,Yes,52.4,1.11,64119,0.59,63.84
Australia,2020,Zika,Parasitic,17.27,1.26,7.08,61+,Male,766425,53.75,3.15,8.49,Therapy,20169,Yes,58.19,4.51,48701,0.83,26.05
USA,2024,Dengue,Viral,1.82,2.98,7.01,36-60,Female,623844,96.83,0.56,9.72,Medication,4664,No,87.75,8.11,56179,0.63,29.0
Nigeria,2009,Leprosy,Parasitic,15.18,14.95,8.21,0-18,Male,788926,87.33,3.96,4.49,Vaccination,31596,Yes,50.8,0.79,6053,0.41,31.82
Australia,2006,Alzheimer's Disease,Bacterial,13.39,13.85,4.04,61+,Male,134472,90.34,2.8,6.73,Surgery,44696,Yes,58.67,5.51,23813,0.87,57.71
France,2015,Polio,Respiratory,14.44,5.69,2.21,19-35,Other,959930,57.31,2.93,6.93,Medication,48221,Yes,54.8,6.49,99481,0.84,28.24
Indonesia,2001,Hypertension,Cardiovascular,3.24,0.43,2.12,36-60,Male,938294,54.07,3.14,9.09,Vaccination,32325,Yes,92.95,4.93,86168,0.79,25.86
Turkey,2019,Leprosy,Respiratory,8.74,1.42,1.54,19-35,Other,124225,59.94,0.8,6.22,Vaccination,20405,No,73.62,4.22,50131,0.76,70.77
China,2001,Ebola,Neurological,2.92,1.17,7.35,36-60,Other,276364,80.23,2.27,3.57,Surgery,28401,Yes,51.53,1.47,8526,0.4,31.5
South Africa,2014,Malaria,Bacterial,5.94,4.29,2.36,61+,Female,857183,61.32,4.56,6.88,Therapy,14578,Yes,72.97,1.4,52974,0.53,43.97
Japan,2021,Diabetes,Autoimmune,11.24,4.78,5.68,19-35,Male,947147,66.78,4.46,1.2,Surgery,20397,Yes,98.55,7.43,93229,0.64,46.04
USA,2000,Asthma,Metabolic,7.91,9.13,1.58,0-18,Male,365955,64.87,1.28,4.67,Therapy,8688,No,79.09,9.56,85413,0.4,31.14
UK,2010,Diabetes,Genetic,10.58,12.3,2.37,0-18,Female,822231,66.36,1.31,9.32,Surgery,4533,Yes,52.91,3.67,3239,0.52,71.13
Canada,2001,Tuberculosis,Neurological,16.03,7.29,0.39,61+,Male,804802,78.96,2.46,7.72,Therapy,1676,No,80.52,8.64,60168,0.45,41.91
Russia,2003,Measles,Neurological,1.45,12.86,3.21,36-60,Male,468005,63.31,2.53,1.41,Therapy,12119,No,90.01,7.68,19846,0.9,34.35
Mexico,2022,Rabies,Neurological,11.63,8.99,0.54,36-60,Other,402997,90.8,2.36,8.25,Surgery,9975,No,84.78,4.71,11786,0.6,87.24
UK,2019,Zika,Neurological,14.72,0.84,6.72,0-18,Male,294143,50.0,2.23,9.51,Vaccination,26485,No,66.32,6.07,35741,0.78,82.92
Japan,2002,Alzheimer's Disease,Respiratory,12.61,12.98,5.45,19-35,Male,116844,65.71,4.19,9.69,Vaccination,16118,No,64.88,8.59,4033,0.86,39.69
Saudi Arabia,2006,Cancer,Parasitic,15.12,9.04,6.9,0-18,Female,834340,91.0,3.02,2.05,Therapy,15983,No,89.49,6.01,84531,0.9,80.19
Canada,2001,Malaria,Autoimmune,13.29,9.76,7.77,0-18,Male,205610,89.47,3.6,8.46,Medication,1190,No,67.79,4.73,50405,0.89,38.11
Brazil,2003,Parkinson's Disease,Viral,13.85,4.52,3.23,61+,Male,700175,62.54,3.25,5.22,Medication,33734,Yes,75.62,9.79,11089,0.48,24.44
Canada,2019,COVID-19,Bacterial,2.08,12.8,0.1,36-60,Other,558329,55.52,0.78,6.89,Vaccination,36659,No,62.21,6.08,21921,0.4,25.7
Brazil,2011,Parkinson's Disease,Neurological,6.42,10.08,0.29,0-18,Other,136567,50.48,3.07,8.06,Surgery,18886,Yes,80.2,5.37,41181,0.73,25.31
France,2005,Diabetes,Metabolic,6.09,10.77,1.42,19-35,Other,267802,95.85,3.42,9.14,Medication,27027,No,82.82,9.46,66816,0.6,48.75
Turkey,2006,Malaria,Cardiovascular,10.53,2.5,5.09,0-18,Male,923451,76.24,1.43,2.95,Vaccination,29311,Yes,93.53,6.45,51865,0.74,58.38
Australia,2014,HIV/AIDS,Cardiovascular,12.52,3.13,9.14,19-35,Female,828045,68.61,0.9,8.3,Surgery,41081,Yes,61.53,7.16,20964,0.86,85.65
Japan,2022,Malaria,Metabolic,3.77,1.02,3.0,0-18,Male,509716,63.88,0.57,8.23,Vaccination,49265,No,51.6,0.45,7171,0.48,36.94
France,2008,Tuberculosis,Respiratory,4.6,4.94,2.08,61+,Female,215901,63.27,2.44,0.86,Therapy,35024,Yes,73.99,0.04,35337,0.49,80.47
Mexico,2006,Dengue,Neurological,5.84,6.71,0.63,61+,Other,999156,95.87,2.02,5.29,Therapy,47635,Yes,90.72,3.48,9033,0.42,72.74
Indonesia,2000,Rabies,Bacterial,1.22,13.78,3.9,0-18,Male,723071,56.9,3.04,3.53,Therapy,45214,Yes,97.84,3.3,24147,0.73,79.39
Turkey,2022,Measles,Chronic,6.97,2.22,6.35,36-60,Male,534508,91.15,0.62,5.87,Vaccination,24653,No,76.34,3.99,17444,0.5,59.77
Germany,2017,Cancer,Metabolic,3.04,2.12,4.46,61+,Male,639082,96.85,1.99,2.73,Medication,33639,Yes,71.36,8.09,20359,0.73,86.25
Brazil,2003,Alzheimer's Disease,Neurological,12.5,13.27,9.34,19-35,Male,280906,89.39,3.91,5.6,Surgery,16622,Yes,87.39,1.16,32806,0.61,70.08
Brazil,2010,HIV/AIDS,Autoimmune,0.13,13.99,1.46,36-60,Female,134964,69.35,5.0,0.55,Vaccination,14688,Yes,61.6,7.23,57996,0.79,42.37
UK,2003,Malaria,Chronic,1.08,0.18,3.54,61+,Male,596241,85.86,2.84,5.94,Medication,31291,No,53.7,8.65,55241,0.59,85.04
Australia,2009,Alzheimer's Disease,Infectious,2.44,8.04,8.74,0-18,Other,283322,97.18,4.05,5.16,Therapy,26854,No,93.65,7.02,49594,0.71,70.7
Saudi Arabia,2023,Hypertension,Metabolic,14.72,13.9,3.28,36-60,Female,28737,97.73,4.51,5.6,Medication,24176,No,85.19,3.9,8158,0.61,76.37
India,2003,Alzheimer's Disease,Bacterial,0.19,14.26,8.38,0-18,Male,349846,72.29,3.1,5.47,Medication,35329,Yes,81.85,8.8,91267,0.58,45.22
